#{"t_start": 1584126944.1715174, "env_id": null}
r,l,t
-9.809524,9,254.867155
-0.833333,8,254.988375
-0.761905,11,255.149647
1.261905,12,255.326715
1.190476,9,255.447853
1.190476,9,255.628941
1.142857,7,255.76043
-9.690476,14,257.197523
-9.666667,15,257.50216
1.166667,8,257.655601
-0.785714,10,257.825938
1.285714,13,258.023168
1.214286,10,258.190675
1.142857,7,258.313932
1.238095,11,258.489043
1.190476,9,258.6232
-9.666667,15,258.833653
-0.928571,4,258.922824
1.214286,10,259.120999
-0.809524,9,259.279974
1.190476,9,259.401403
1.166667,8,259.527739
-0.785714,10,259.672678
1.261905,12,259.847691
1.404762,18,260.303647
1.190476,9,260.520866
1.142857,7,260.713039
1.261905,12,260.943571
1.190476,9,261.137596
-0.714286,13,261.409691
1.214286,10,261.610964
1.285714,13,263.156362
-9.761905,11,263.408722
-0.785714,10,263.600648
1.214286,10,263.787581
-9.714286,13,264.022526
1.071429,4,264.101037
-0.690476,14,264.339744
-9.666667,15,264.572813
1.142857,7,264.700155
-9.714286,13,264.924884
1.166667,8,265.067903
1.285714,13,265.247768
1.119048,6,265.33306
-9.833333,8,265.437574
-0.928571,4,265.51529
-0.880952,6,265.60812
1.238095,11,265.782945
1.333333,15,266.04729
-9.761905,11,266.218527
-0.761905,11,266.377402
-0.880952,6,266.495027
1.166667,8,266.599747
1.238095,11,266.790156
-0.857143,7,266.956843
1.142857,7,267.122372
1.190476,9,267.305236
-0.833333,8,267.466294
-0.857143,7,268.702847
1.166667,8,268.835935
1.190476,9,269.016519
1.285714,13,269.238519
1.190476,9,269.433016
1.380952,17,269.893217
1.142857,7,270.049795
1.142857,7,270.201576
-9.833333,8,270.386409
-0.857143,7,270.504567
1.285714,13,270.706982
-0.642857,16,271.118533
1.142857,7,271.309471
1.214286,10,271.529779
1.214286,10,271.734282
1.190476,9,271.927114
-9.714286,13,272.1916
-0.833333,8,272.358733
-0.785714,10,272.54676
1.238095,11,272.747223
1.238095,11,272.919606
1.285714,13,273.144531
1.119048,6,273.276018
1.190476,9,273.455011
1.071429,4,273.551227
1.095238,5,273.66507
1.261905,12,273.942485
1.238095,11,275.340799
1.261905,12,275.591987
1.166667,8,275.74016
-9.785714,10,275.916062
1.214286,10,276.07916
-0.833333,8,276.217136
-9.785714,10,276.351465
1.261905,12,276.548212
-0.857143,7,276.668564
-9.690476,14,276.861339
1.142857,7,276.991017
1.190476,9,277.132665
1.285714,13,277.306358
1.214286,10,277.465567
1.142857,7,277.573429
1.214286,10,277.739886
-0.785714,10,277.891301
-0.904762,5,277.974915
1.190476,9,278.100428
1.238095,11,278.259134
